"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2001-078366","特願平11-252435","1999/09/07","2001/03/23","無人搬送車のバッテリー充電装置","村田機械株式会社","B60L11/18@C,H01M10/44@Q,H01M10/46,H02J7/00@P,H02J7/00,301@B","特開2001-078366","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-078366/11/ja"
"特開2001-067129","特願平11-242956","1999/08/30","2001/03/16","無人搬送車","ニチユ三菱フォークリフト株式会社","B65G1/00,501@C,G05D1/02@W,G05D1/02@Y,G05D1/24,G05D1/245,G05D1/43,G05D1/60,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50","特開2001-067129","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-067129/11/ja"
"特開2001-067127","特願平11-242921","1999/08/30","2001/03/16","無人搬送車","アシスト　テクノロジーズ　ジャパン株式会社","G05D1/02@K,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/248,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2001-067127","","特許4172109","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-067127/11/ja"
"特開2001-060111","特願平11-233995","1999/08/20","2001/03/06","無人搬送車の走行制御システム","三菱重工業株式会社","G05D1/02@J,G05D1/02@S,G05D1/02@W,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D1/644,G05D1/648,G05D1/65,G05D1/693,G05D105:00,G05D105:20,G05D107:00,G05D107:10,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:50,G05D111:60,G05D111:63,G05D111:67","特開2001-060111","","特許3359008","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-060111/11/ja"
"特開2001-056710","特願平11-231249","1999/08/18","2001/02/27","無人搬送車の制御方法","ニチユ三菱フォークリフト株式会社","B66F9/24@A,B66F9/24@R,G05D1/02@W,G05D1/02@Y,G05D1/24,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D1/65,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2001-056710","","特許3613547","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-056710/11/ja"
"特開2001-042935","特願平11-213472","1999/07/28","2001/02/16","無人搬送車走行システム","沖電気工業株式会社","G05D1/02@J,H01Q1/32,H01Q7/00,H04B1/59,G05D1/24,G05D1/243,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:60,G05D111:67","特開2001-042935","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-042935/11/ja"
"特開2001-042934","特願平11-219358","1999/08/02","2001/02/16","無人搬送車の推定位置補正方法及びその装置","アシスト　テクノロジーズ　ジャパン株式会社","G05D1/02@J,G05D1/228,G05D1/229,G05D1/24,G05D1/243,G05D1/245,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:60,G05D111:67","特開2001-042934","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-042934/11/ja"
"特開2001-034340","特願平11-204699","1999/07/19","2001/02/09","無人搬送車の走行制御方法","新神戸電機株式会社","B62D6/00,B62D101:00,B62D109:00,G05D1/02@J,G05D1/225,G05D1/229,G05D1/243,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D105:22,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2001-034340","","","","","（出願の）却下・拒絶","出願の取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-034340/11/ja"
"特開2001-022442","特願平11-199214","1999/07/13","2001/01/26","無人搬送車の制御方法","株式会社デンソー","B25J5/00@E,B25J9/10@A,G05D1/02@A,G05D1/02@W,G05D1/228,G05D1/229,G05D1/24,G05D1/244,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:60","特開2001-022442","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-022442/11/ja"
"特開2001-019382","特願平11-195014","1999/07/08","2001/01/23","無人搬送車","株式会社スギヤス","B62D7/14@Z,B62D7/15@C,B62D7/15@D,B62D7/15@E,B65G1/00,501@C,B66F9/075@Z,B66F9/22@X,B66F9/24@W","特開2001-019382","","特許4354577","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-019382/11/ja"
